inscricao_id,aluno_id,uc_id,semestre,ano_letivo,nota_final,resultado,epoca
I0005415,A00511,FIS2,2,2024/2025,,Não avaliado,Normal
I0005416,A00512,GENE,2,2022/2023,,Não avaliado,Normal
I0005417,A00512,DSCI,1,2020/2021,13,Aprovado,Recurso
I0005418,A00512,QUIM,1,2021/2022,,Não avaliado,Normal
I0005419,A00512,FIS2,2,2021/2022,,Não avaliado,Normal
I0005420,A00512,PROJ,2,2020/2021,13,Aprovado,Normal
I0005421,A00512,ESTA,2,2021/2022,,Não avaliado,Normal
I0005422,A00512,ESTG,1,2021/2022,13,Aprovado,Normal
I0005423,A00512,SOFT,1,2023/2024,14,Aprovado,Normal
I0005424,A00512,MACR,1,2023/2024,10,Aprovado,Normal
I0005425,A00512,TRAD,2,2020/2021,17,Aprovado,Normal
I0005426,A00512,BDAD,1,2024/2025,1,Reprovado,Normal
I0005427,A00512,MKTG,2,2025/2026,1,Reprovado,Normal
I0005428,A00512,DWHS,2,2023/2024,12,Aprovado,Normal
I0005429,A00513,MKTG,1,2025/2026,15,Aprovado,Normal
I0005430,A00513,BIAR,2,2025/2026,13,Aprovado,Normal
I0005431,A00513,MACR,2,2023/2024,15,Aprovado,Normal
I0005432,A00513,EDUC,2,2025/2026,12,Aprovado,Normal
I0005433,A00513,FIS1,1,2023/2024,,Não avaliado,Normal
I0005434,A00513,CALC,1,2024/2025,,Não avaliado,Normal
I0005435,A00513,ANAC,2,2023/2024,11,Aprovado,Normal
I0005436,A00513,SINA,1,2024/2025,18,Aprovado,Normal
I0005437,A00513,ESTA,2,2025/2026,19,Aprovado,Normal
I0005438,A00513,PSIC,1,2025/2026,,Não avaliado,Especial
I0005439,A00514,CONT,1,2025/2026,20,Aprovado,Normal
I0005440,A00514,GENE,2,2021/2022,15,Aprovado,Normal
I0005441,A00514,DWHS,2,2022/2023,,Não avaliado,Recurso
I0005442,A00514,CALC,1,2023/2024,13,Aprovado,Normal
I0005443,A00514,ING1,1,2023/2024,19,Aprovado,Normal
I0005444,A00514,MACR,2,2023/2024,18,Aprovado,Normal
I0005445,A00514,PSIC,2,2024/2025,11,Aprovado,Normal
I0005446,A00514,BDAD,1,2020/2021,6,Reprovado,Normal
I0005447,A00514,REDES,2,2020/2021,4,Reprovado,Recurso
I0005448,A00514,MICR,2,2021/2022,4,Reprovado,Recurso
I0005449,A00515,MKTG,1,2022/2023,19,Aprovado,Normal
I0005450,A00515,ING1,2,2024/2025,19,Aprovado,Normal
I0005451,A00515,TRAD,2,2024/2025,12,Aprovado,Normal
I0005452,A00515,PROG,2,2024/2025,12,Aprovado,Recurso
I0005453,A00515,CALC,2,2023/2024,18,Aprovado,Normal
I0005454,A00515,ANAC,1,2025/2026,10,Aprovado,Recurso
I0005455,A00515,SINA,1,2022/2023,10,Aprovado,Normal
I0005456,A00515,BIAR,2,2022/2023,14,Aprovado,Recurso
I0005457,A00516,BIAR,2,2024/2025,9,Reprovado,Normal
I0005458,A00516,ANAC,2,2022/2023,12,Aprovado,Normal
I0005459,A00516,GENE,2,2024/2025,15,Aprovado,Normal
I0005460,A00516,MKTG,1,2022/2023,13,Aprovado,Normal
I0005461,A00516,ALGA,1,2024/2025,2,Reprovado,Normal
I0005462,A00516,CALC,1,2025/2026,20,Aprovado,Normal
I0005463,A00516,PROG,1,2023/2024,,Não avaliado,Normal
I0005464,A00516,ESTA,2,2024/2025,2,Reprovado,Normal
I0005465,A00516,MICR,1,2024/2025,11,Aprovado,Normal
I0005466,A00516,MACR,1,2025/2026,14,Aprovado,Recurso
I0005467,A00517,BDAD,1,2024/2025,20,Aprovado,Normal
I0005468,A00517,MACR,2,2020/2021,11,Aprovado,Normal
I0005469,A00517,REDES,1,2025/2026,17,Aprovado,Normal
I0005470,A00517,MLAB,2,2025/2026,,Não avaliado,Normal
I0005471,A00517,DWHS,2,2024/2025,16,Aprovado,Normal
I0005472,A00517,GENE,1,2025/2026,17,Aprovado,Especial
I0005473,A00517,ANAC,2,2024/2025,15,Aprovado,Normal
I0005474,A00517,FIS1,2,2020/2021,20,Aprovado,Normal
I0005475,A00517,TRAD,1,2021/2022,10,Aprovado,Normal
I0005476,A00517,ALGA,2,2021/2022,,Não avaliado,Normal
I0005477,A00517,PROJ,2,2023/2024,14,Aprovado,Recurso
I0005478,A00517,FIS2,1,2020/2021,,Não avaliado,Normal
I0005479,A00517,ING1,2,2020/2021,16,Aprovado,Normal
I0005480,A00518,MLAB,1,2023/2024,,Não avaliado,Normal
I0005481,A00518,BIAR,2,2025/2026,1,Reprovado,Normal
I0005482,A00518,ESTA,2,2024/2025,13,Aprovado,Recurso
I0005483,A00518,CONT,2,2025/2026,11,Aprovado,Normal
I0005484,A00518,REDES,2,2024/2025,,Não avaliado,Normal
I0005485,A00518,SOFT,1,2024/2025,4,Reprovado,Normal
I0005486,A00518,EDUC,1,2023/2024,15,Aprovado,Normal
I0005487,A00518,FIS2,2,2024/2025,9,Reprovado,Normal
I0005488,A00518,DSCI,1,2025/2026,9,Reprovado,Recurso
I0005489,A00518,SINA,2,2024/2025,18,Aprovado,Normal
I0005490,A00518,PROG,1,2025/2026,11,Aprovado,Normal
I0005491,A00518,MKTG,1,2024/2025,,Não avaliado,Normal
I0005492,A00518,DWHS,2,2023/2024,12,Aprovado,Normal
I0005493,A00518,PROJ,1,2025/2026,10,Aprovado,Normal
I0005494,A00519,BIOC,1,2021/2022,19,Aprovado,Normal
I0005495,A00519,SINA,1,2021/2022,12,Aprovado,Normal
I0005496,A00519,ALGA,2,2025/2026,16,Aprovado,Especial
I0005497,A00519,ING1,2,2022/2023,,Não avaliado,Recurso
I0005498,A00519,FINA,2,2022/2023,,Não avaliado,Normal
I0005499,A00519,PROJ,2,2023/2024,17,Aprovado,Normal
I0005500,A00519,BDAD,2,2024/2025,14,Aprovado,Normal
I0005501,A00519,PSIC,2,2022/2023,16,Aprovado,Normal
I0005502,A00519,ESTG,1,2021/2022,3,Reprovado,Normal
I0005503,A00519,SOFT,1,2024/2025,7,Reprovado,Normal
I0005504,A00519,TRAD,2,2024/2025,19,Aprovado,Normal
I0005505,A00520,CONT,1,2021/2022,19,Aprovado,Especial
I0005506,A00520,FIS1,2,2022/2023,16,Aprovado,Normal
I0005507,A00520,BDAD,1,2022/2023,,Não avaliado,Normal
I0005508,A00520,GENE,2,2023/2024,11,Aprovado,Recurso
I0005509,A00520,MKTG,2,2025/2026,20,Aprovado,Especial
I0005510,A00520,PROJ,1,2025/2026,13,Aprovado,Normal
I0005511,A00520,SEMI,2,2023/2024,10,Aprovado,Recurso
I0005512,A00520,ING1,2,2025/2026,0,Reprovado,Normal
I0005513,A00520,BIAR,1,2021/2022,13,Aprovado,Normal
I0005514,A00520,EDUC,1,2024/2025,10,Aprovado,Normal
I0005515,A00520,MLAB,1,2022/2023,2,Reprovado,Recurso
I0005516,A00520,FIS2,2,2025/2026,15,Aprovado,Normal
I0005517,A00521,QUIM,1,2022/2023,19,Aprovado,Normal
I0005518,A00521,FIS2,2,2025/2026,11,Aprovado,Especial
I0005519,A00521,SOFT,2,2025/2026,7,Reprovado,Recurso
I0005520,A00521,ANAC,2,2021/2022,17,Aprovado,Normal
I0005521,A00521,ING1,2,2023/2024,,Não avaliado,Especial
I0005522,A00521,PROJ,1,2021/2022,20,Aprovado,Normal
I0005523,A00521,MLAB,1,2022/2023,16,Aprovado,Recurso
I0005524,A00521,SINA,2,2023/2024,14,Aprovado,Normal
I0005525,A00521,DWHS,2,2024/2025,14,Aprovado,Normal
I0005526,A00521,ESTA,1,2023/2024,6,Reprovado,Normal
I0005527,A00521,MICR,2,2022/2023,9,Reprovado,Normal
I0005528,A00522,SOFT,2,2025/2026,20,Aprovado,Normal
I0005529,A00522,ANAC,2,2023/2024,,Não avaliado,Normal
I0005530,A00522,REDES,1,2025/2026,1,Reprovado,Normal
I0005531,A00522,DWHS,2,2025/2026,13,Aprovado,Recurso
I0005532,A00522,QUIM,2,2023/2024,,Não avaliado,Especial
I0005533,A00522,BIOC,2,2024/2025,14,Aprovado,Normal
I0005534,A00522,PROG,2,2023/2024,19,Aprovado,Normal
I0005535,A00522,DSCI,1,2025/2026,18,Aprovado,Normal
I0005536,A00522,SINA,2,2025/2026,1,Reprovado,Recurso
I0005537,A00522,ALGA,1,2024/2025,19,Aprovado,Normal
I0005538,A00522,FIS2,2,2025/2026,4,Reprovado,Recurso
I0005539,A00523,MLAB,2,2023/2024,15,Aprovado,Normal
I0005540,A00523,FINA,1,2024/2025,17,Aprovado,Normal
I0005541,A00523,PROJ,1,2023/2024,15,Aprovado,Normal
I0005542,A00523,BDAD,2,2022/2023,18,Aprovado,Normal
I0005543,A00523,FIS2,1,2024/2025,3,Reprovado,Normal
I0005544,A00523,BIAR,1,2022/2023,14,Aprovado,Normal
I0005545,A00523,EDUC,2,2025/2026,1,Reprovado,Recurso
I0005546,A00523,MICR,1,2023/2024,1,Reprovado,Recurso
I0005547,A00523,SOFT,1,2023/2024,,Não avaliado,Normal
I0005548,A00523,ESTA,1,2024/2025,8,Reprovado,Normal
I0005549,A00523,BIOC,1,2022/2023,0,Reprovado,Normal
I0005550,A00523,DWHS,1,2025/2026,15,Aprovado,Normal
I0005551,A00524,PSIC,2,2024/2025,11,Aprovado,Normal
I0005552,A00524,BIOC,2,2025/2026,17,Aprovado,Normal
I0005553,A00524,REDES,2,2024/2025,20,Aprovado,Normal
I0005554,A00524,ESTG,2,2025/2026,20,Aprovado,Recurso
I0005555,A00524,QUIM,1,2024/2025,3,Reprovado,Recurso
I0005556,A00524,ALGA,2,2024/2025,17,Aprovado,Recurso
I0005557,A00524,BDAD,1,2025/2026,14,Aprovado,Normal
I0005558,A00524,MACR,1,2024/2025,18,Aprovado,Normal
I0005559,A00524,ANAC,1,2024/2025,11,Aprovado,Normal
I0005560,A00524,GENE,2,2024/2025,11,Aprovado,Recurso
I0005561,A00524,DSCI,1,2025/2026,14,Aprovado,Normal
I0005562,A00524,SOFT,2,2025/2026,15,Aprovado,Normal
I0005563,A00525,SEMI,2,2024/2025,10,Aprovado,Normal
I0005564,A00525,DWHS,1,2025/2026,13,Aprovado,Normal
I0005565,A00525,MLAB,1,2024/2025,16,Aprovado,Recurso
I0005566,A00525,ALGA,2,2024/2025,11,Aprovado,Normal
I0005567,A00525,PROJ,2,2025/2026,4,Reprovado,Recurso
I0005568,A00525,ESTG,1,2024/2025,,Não avaliado,Normal
I0005569,A00525,PROG,2,2024/2025,1,Reprovado,Normal
I0005570,A00525,QUIM,2,2025/2026,13,Aprovado,Recurso
I0005571,A00525,ING1,2,2025/2026,15,Aprovado,Normal
I0005572,A00525,EDUC,2,2025/2026,2,Reprovado,Normal
I0005573,A00525,BIOC,2,2024/2025,6,Reprovado,Normal
I0005574,A00525,MICR,2,2024/2025,20,Aprovado,Especial
I0005575,A00526,BDAD,1,2023/2024,6,Reprovado,Normal
I0005576,A00526,TRAD,2,2024/2025,17,Aprovado,Normal
I0005577,A00526,DSCI,2,2025/2026,9,Reprovado,Normal
I0005578,A00526,ESTA,2,2022/2023,0,Reprovado,Recurso
I0005579,A00526,REDES,2,2022/2023,15,Aprovado,Normal
I0005580,A00526,SINA,1,2020/2021,5,Reprovado,Normal
I0005581,A00526,PROG,2,2022/2023,4,Reprovado,Normal
I0005582,A00526,FIS1,2,2023/2024,16,Aprovado,Normal
I0005583,A00526,ALGA,2,2022/2023,1,Reprovado,Especial
I0005584,A00526,PROJ,1,2020/2021,17,Aprovado,Normal
I0005585,A00527,ESTA,2,2025/2026,19,Aprovado,Recurso
I0005586,A00527,FINA,1,2024/2025,15,Aprovado,Normal
I0005587,A00527,FIS2,2,2024/2025,10,Aprovado,Normal
I0005588,A00527,BIOC,1,2023/2024,19,Aprovado,Recurso
I0005589,A00527,MLAB,2,2025/2026,18,Aprovado,Normal
I0005590,A00527,QUIM,2,2025/2026,20,Aprovado,Normal
I0005591,A00527,SINA,1,2025/2026,4,Reprovado,Normal
I0005592,A00527,MKTG,1,2023/2024,20,Aprovado,Recurso
I0005593,A00528,SOFT,1,2022/2023,10,Aprovado,Normal
I0005594,A00528,DWHS,1,2021/2022,16,Aprovado,Normal
I0005595,A00528,PROJ,1,2023/2024,14,Aprovado,Normal
I0005596,A00528,BDAD,2,2023/2024,10,Aprovado,Normal
I0005597,A00528,ESTA,2,2023/2024,10,Aprovado,Normal
I0005598,A00528,BIAR,1,2025/2026,19,Aprovado,Normal
I0005599,A00528,ALGA,1,2024/2025,13,Aprovado,Normal
I0005600,A00528,PROG,1,2021/2022,13,Aprovado,Recurso
I0005601,A00528,MICR,2,2024/2025,18,Aprovado,Normal
I0005602,A00529,SEMI,2,2023/2024,,Não avaliado,Normal
I0005603,A00529,EDUC,2,2023/2024,9,Reprovado,Normal
I0005604,A00529,PROG,1,2025/2026,9,Reprovado,Normal
I0005605,A00529,ESTG,2,2024/2025,,Não avaliado,Normal
I0005606,A00529,ESTA,2,2023/2024,12,Aprovado,Normal
I0005607,A00529,SINA,2,2023/2024,7,Reprovado,Normal
I0005608,A00529,PSIC,2,2023/2024,15,Aprovado,Normal
I0005609,A00529,ING1,1,2024/2025,18,Aprovado,Normal
I0005610,A00529,CALC,2,2025/2026,19,Aprovado,Normal
I0005611,A00529,TRAD,1,2023/2024,19,Aprovado,Normal
I0005612,A00530,ING1,2,2025/2026,12,Aprovado,Normal
I0005613,A00530,ANAC,2,2021/2022,16,Aprovado,Normal
I0005614,A00530,SEMI,2,2024/2025,13,Aprovado,Recurso
I0005615,A00530,MACR,1,2024/2025,20,Aprovado,Normal
I0005616,A00530,ESTA,1,2022/2023,20,Aprovado,Normal
I0005617,A00530,PROG,2,2022/2023,14,Aprovado,Normal
I0005618,A00530,CONT,2,2025/2026,13,Aprovado,Especial
I0005619,A00530,REDES,1,2022/2023,,Não avaliado,Especial
I0005620,A00530,ALGA,2,2021/2022,19,Aprovado,Normal
I0005621,A00530,BDAD,1,2024/2025,20,Aprovado,Normal
I0005622,A00530,MICR,1,2024/2025,11,Aprovado,Normal
I0005623,A00530,DWHS,2,2025/2026,16,Aprovado,Normal
I0005624,A00531,MKTG,2,2023/2024,2,Reprovado,Normal
I0005625,A00531,BDAD,1,2025/2026,10,Aprovado,Normal
I0005626,A00531,PROG,2,2025/2026,10,Aprovado,Recurso
I0005627,A00531,MLAB,2,2023/2024,15,Aprovado,Normal
I0005628,A00531,ANAC,1,2024/2025,15,Aprovado,Recurso
I0005629,A00531,SINA,2,2022/2023,12,Aprovado,Recurso
I0005630,A00531,ESTA,1,2022/2023,17,Aprovado,Normal
I0005631,A00531,SEMI,1,2025/2026,8,Reprovado,Normal
I0005632,A00531,PSIC,2,2021/2022,10,Aprovado,Normal
I0005633,A00531,REDES,2,2022/2023,0,Reprovado,Especial
I0005634,A00532,ALGA,2,2023/2024,,Não avaliado,Normal
I0005635,A00532,CALC,2,2024/2025,19,Aprovado,Especial
I0005636,A00532,DWHS,2,2024/2025,,Não avaliado,Normal
I0005637,A00532,SINA,2,2023/2024,14,Aprovado,Normal
I0005638,A00532,SOFT,2,2023/2024,18,Aprovado,Normal
I0005639,A00532,DSCI,1,2025/2026,,Não avaliado,Normal
I0005640,A00532,MACR,2,2024/2025,15,Aprovado,Normal
I0005641,A00532,BIOC,2,2025/2026,16,Aprovado,Recurso
I0005642,A00532,FIS1,1,2024/2025,9,Reprovado,Normal
I0005643,A00532,PROJ,2,2023/2024,14,Aprovado,Normal
I0005644,A00532,BIAR,1,2025/2026,9,Reprovado,Normal
I0005645,A00533,PSIC,2,2025/2026,13,Aprovado,Normal
I0005646,A00533,MKTG,2,2022/2023,17,Aprovado,Normal
I0005647,A00533,SOFT,2,2025/2026,16,Aprovado,Recurso
I0005648,A00533,REDES,1,2025/2026,,Não avaliado,Especial
I0005649,A00533,CALC,1,2023/2024,17,Aprovado,Recurso
I0005650,A00533,BIOC,2,2023/2024,19,Aprovado,Especial
I0005651,A00533,TRAD,2,2022/2023,18,Aprovado,Recurso
I0005652,A00533,SINA,2,2025/2026,14,Aprovado,Recurso
I0005653,A00533,FINA,1,2023/2024,10,Aprovado,Normal
I0005654,A00533,BDAD,2,2024/2025,14,Aprovado,Normal
I0005655,A00533,PROG,1,2023/2024,14,Aprovado,Recurso
I0005656,A00533,GENE,1,2024/2025,16,Aprovado,Recurso
I0005657,A00534,MICR,2,2025/2026,18,Aprovado,Recurso
I0005658,A00534,PROG,2,2025/2026,16,Aprovado,Normal
I0005659,A00534,SOFT,2,2020/2021,16,Aprovado,Recurso
I0005660,A00534,ESTG,2,2020/2021,15,Aprovado,Normal
I0005661,A00534,CONT,2,2024/2025,11,Aprovado,Especial
I0005662,A00534,DWHS,2,2025/2026,12,Aprovado,Normal
I0005663,A00534,CALC,1,2022/2023,4,Reprovado,Especial
I0005664,A00534,SEMI,2,2022/2023,20,Aprovado,Especial
I0005665,A00534,BIOC,2,2024/2025,8,Reprovado,Normal
I0005666,A00534,PROJ,2,2021/2022,18,Aprovado,Normal
I0005667,A00534,FIS1,1,2020/2021,17,Aprovado,Normal
I0005668,A00534,DSCI,1,2020/2021,18,Aprovado,Normal
I0005669,A00535,FIS1,2,2025/2026,5,Reprovado,Normal
I0005670,A00535,BIOC,1,2025/2026,20,Aprovado,Normal
I0005671,A00535,ANAC,1,2024/2025,,Não avaliado,Normal
I0005672,A00535,PROJ,1,2024/2025,20,Aprovado,Normal
I0005673,A00535,DSCI,2,2025/2026,13,Aprovado,Normal
I0005674,A00535,MLAB,2,2024/2025,18,Aprovado,Recurso
I0005675,A00535,GENE,1,2025/2026,17,Aprovado,Recurso
I0005676,A00535,MACR,2,2025/2026,17,Aprovado,Normal
I0005677,A00536,ANAC,1,2025/2026,10,Aprovado,Normal
I0005678,A00536,FIS2,1,2024/2025,,Não avaliado,Recurso
I0005679,A00536,SOFT,2,2023/2024,15,Aprovado,Normal
I0005680,A00536,MACR,2,2025/2026,14,Aprovado,Normal
I0005681,A00536,CONT,2,2024/2025,3,Reprovado,Normal
I0005682,A00536,PSIC,2,2025/2026,20,Aprovado,Especial
I0005683,A00536,FIS1,1,2025/2026,19,Aprovado,Normal
I0005684,A00536,BIOC,1,2025/2026,11,Aprovado,Normal
I0005685,A00536,DWHS,1,2023/2024,11,Aprovado,Normal
I0005686,A00536,MKTG,1,2023/2024,18,Aprovado,Normal
I0005687,A00536,QUIM,2,2023/2024,10,Aprovado,Normal
I0005688,A00536,GENE,2,2023/2024,12,Aprovado,Especial
I0005689,A00536,ALGA,1,2024/2025,18,Aprovado,Recurso
I0005690,A00537,MKTG,1,2025/2026,17,Aprovado,Normal
I0005691,A00537,PROG,1,2025/2026,17,Aprovado,Especial
I0005692,A00537,FIS1,2,2025/2026,20,Aprovado,Normal
I0005693,A00537,ANAC,1,2025/2026,13,Aprovado,Normal
I0005694,A00537,MLAB,2,2025/2026,16,Aprovado,Especial
I0005695,A00537,DWHS,1,2025/2026,15,Aprovado,Normal
I0005696,A00537,SINA,1,2025/2026,14,Aprovado,Recurso
I0005697,A00537,REDES,1,2025/2026,13,Aprovado,Normal
I0005698,A00537,ESTA,1,2025/2026,15,Aprovado,Especial
I0005699,A00537,EDUC,1,2025/2026,0,Reprovado,Normal
I0005700,A00537,ALGA,2,2025/2026,15,Aprovado,Normal
I0005701,A00538,ESTG,2,2025/2026,19,Aprovado,Especial
I0005702,A00538,ANAC,1,2025/2026,11,Aprovado,Normal
I0005703,A00538,ING1,2,2025/2026,20,Aprovado,Normal
I0005704,A00538,TRAD,1,2025/2026,14,Aprovado,Normal
I0005705,A00538,FIS1,1,2025/2026,14,Aprovado,Especial
I0005706,A00538,ESTA,2,2025/2026,11,Aprovado,Recurso
I0005707,A00538,CALC,1,2025/2026,8,Reprovado,Normal
I0005708,A00538,FIS2,1,2025/2026,20,Aprovado,Normal
I0005709,A00538,MLAB,2,2025/2026,12,Aprovado,Normal
I0005710,A00538,REDES,1,2025/2026,12,Aprovado,Normal
I0005711,A00538,CONT,1,2025/2026,17,Aprovado,Recurso
I0005712,A00538,MACR,2,2025/2026,16,Aprovado,Especial
I0005713,A00538,FINA,2,2025/2026,20,Aprovado,Normal
I0005714,A00539,ALGA,1,2025/2026,12,Aprovado,Normal
I0005715,A00539,DSCI,1,2022/2023,11,Aprovado,Recurso
I0005716,A00539,ESTG,2,2024/2025,10,Aprovado,Especial
I0005717,A00539,CALC,1,2020/2021,10,Aprovado,Normal
I0005718,A00539,FIS2,1,2021/2022,19,Aprovado,Normal
I0005719,A00539,BDAD,2,2025/2026,10,Aprovado,Normal
I0005720,A00539,QUIM,1,2024/2025,16,Aprovado,Normal
I0005721,A00539,PSIC,1,2023/2024,0,Reprovado,Recurso
I0005722,A00539,DWHS,2,2022/2023,,Não avaliado,Normal
I0005723,A00539,BIAR,2,2023/2024,,Não avaliado,Normal
I0005724,A00539,MACR,1,2020/2021,,Não avaliado,Normal
I0005725,A00539,MICR,2,2020/2021,10,Aprovado,Recurso
I0005726,A00540,MKTG,2,2021/2022,14,Aprovado,Recurso
I0005727,A00540,ING1,1,2022/2023,13,Aprovado,Normal
I0005728,A00540,ESTA,1,2023/2024,5,Reprovado,Normal
I0005729,A00540,EDUC,1,2022/2023,16,Aprovado,Normal
I0005730,A00540,MLAB,2,2022/2023,14,Aprovado,Normal
I0005731,A00540,ANAC,2,2023/2024,20,Aprovado,Especial
I0005732,A00540,REDES,2,2025/2026,11,Aprovado,Normal
I0005733,A00540,ESTG,2,2025/2026,10,Aprovado,Especial
I0005734,A00540,SINA,1,2020/2021,17,Aprovado,Normal
I0005735,A00540,BDAD,2,2023/2024,11,Aprovado,Normal
I0005736,A00540,DWHS,1,2023/2024,12,Aprovado,Normal
I0005737,A00540,ALGA,1,2021/2022,20,Aprovado,Normal
I0005738,A00541,TRAD,1,2025/2026,14,Aprovado,Normal
I0005739,A00541,EDUC,2,2025/2026,18,Aprovado,Especial
I0005740,A00541,MLAB,1,2025/2026,20,Aprovado,Normal
I0005741,A00541,PROJ,2,2024/2025,11,Aprovado,Normal
I0005742,A00541,REDES,1,2025/2026,14,Aprovado,Normal
I0005743,A00541,FIS2,1,2024/2025,13,Aprovado,Especial
I0005744,A00541,DSCI,2,2024/2025,16,Aprovado,Especial
I0005745,A00541,SOFT,1,2025/2026,15,Aprovado,Especial
I0005746,A00541,SINA,2,2025/2026,10,Aprovado,Normal
I0005747,A00541,MICR,2,2025/2026,15,Aprovado,Normal
I0005748,A00541,MACR,1,2024/2025,13,Aprovado,Recurso
I0005749,A00542,TRAD,1,2024/2025,13,Aprovado,Normal
I0005750,A00542,ANAC,1,2022/2023,20,Aprovado,Normal
I0005751,A00542,CALC,2,2022/2023,13,Aprovado,Normal
I0005752,A00542,DSCI,2,2025/2026,,Não avaliado,Normal
I0005753,A00542,GENE,2,2022/2023,,Não avaliado,Especial
I0005754,A00542,MACR,1,2025/2026,17,Aprovado,Normal
I0005755,A00542,MLAB,1,2022/2023,13,Aprovado,Normal
I0005756,A00542,DWHS,2,2024/2025,9,Reprovado,Normal
I0005757,A00542,PSIC,2,2023/2024,11,Aprovado,Normal
I0005758,A00543,REDES,1,2023/2024,18,Aprovado,Normal
I0005759,A00543,FIS2,1,2023/2024,15,Aprovado,Normal
I0005760,A00543,ESTG,1,2020/2021,8,Reprovado,Normal
I0005761,A00543,TRAD,1,2024/2025,,Não avaliado,Normal
I0005762,A00543,ING1,2,2023/2024,14,Aprovado,Normal
I0005763,A00543,FINA,1,2024/2025,17,Aprovado,Normal
I0005764,A00543,EDUC,2,2021/2022,14,Aprovado,Normal
I0005765,A00543,FIS1,2,2021/2022,,Não avaliado,Normal
I0005766,A00543,ESTA,2,2025/2026,17,Aprovado,Normal
I0005767,A00543,CALC,2,2023/2024,15,Aprovado,Normal
I0005768,A00543,ALGA,2,2024/2025,,Não avaliado,Normal
I0005769,A00544,EDUC,1,2025/2026,15,Aprovado,Normal
I0005770,A00544,BIAR,1,2023/2024,15,Aprovado,Normal
I0005771,A00544,DWHS,2,2025/2026,20,Aprovado,Especial
I0005772,A00544,MLAB,2,2023/2024,9,Reprovado,Normal
I0005773,A00544,QUIM,2,2023/2024,4,Reprovado,Especial
I0005774,A00544,PROJ,1,2025/2026,,Não avaliado,Recurso
I0005775,A00545,ING1,1,2024/2025,,Não avaliado,Normal
I0005776,A00545,DSCI,2,2024/2025,11,Aprovado,Recurso
I0005777,A00545,REDES,2,2025/2026,11,Aprovado,Normal
I0005778,A00545,SEMI,1,2025/2026,17,Aprovado,Recurso
I0005779,A00545,BIAR,1,2025/2026,15,Aprovado,Normal
I0005780,A00545,DWHS,1,2025/2026,19,Aprovado,Normal
I0005781,A00545,BIOC,1,2025/2026,10,Aprovado,Normal
I0005782,A00545,SINA,1,2024/2025,10,Aprovado,Recurso
I0005783,A00545,CONT,1,2024/2025,18,Aprovado,Normal
I0005784,A00545,ANAC,1,2025/2026,13,Aprovado,Recurso
I0005785,A00545,TRAD,1,2024/2025,20,Aprovado,Normal
I0005786,A00546,QUIM,2,2025/2026,15,Aprovado,Normal
I0005787,A00546,SOFT,2,2025/2026,,Não avaliado,Recurso
I0005788,A00546,ING1,1,2025/2026,6,Reprovado,Especial
I0005789,A00546,MLAB,2,2025/2026,,Não avaliado,Normal
I0005790,A00546,TRAD,2,2025/2026,,Não avaliado,Recurso
I0005791,A00546,ESTG,1,2025/2026,,Não avaliado,Normal
I0005792,A00546,MACR,1,2025/2026,8,Reprovado,Recurso
I0005793,A00546,CONT,2,2025/2026,9,Reprovado,Normal
I0005794,A00546,MICR,1,2025/2026,6,Reprovado,Normal
I0005795,A00546,FIS2,2,2025/2026,,Não avaliado,Normal
I0005796,A00547,DSCI,2,2025/2026,14,Aprovado,Especial
I0005797,A00547,ESTA,2,2025/2026,7,Reprovado,Normal
I0005798,A00547,ING1,2,2025/2026,17,Aprovado,Normal
I0005799,A00547,PROJ,1,2024/2025,,Não avaliado,Normal
I0005800,A00547,CALC,1,2025/2026,13,Aprovado,Recurso
I0005801,A00547,ALGA,1,2024/2025,14,Aprovado,Normal
I0005802,A00547,BIAR,1,2025/2026,,Não avaliado,Normal
I0005803,A00547,BIOC,2,2025/2026,16,Aprovado,Recurso
I0005804,A00547,FIS2,1,2025/2026,20,Aprovado,Recurso
I0005805,A00548,MACR,1,2023/2024,18,Aprovado,Recurso
I0005806,A00548,DWHS,1,2023/2024,,Não avaliado,Especial
I0005807,A00548,PSIC,2,2023/2024,17,Aprovado,Normal
I0005808,A00548,ALGA,1,2023/2024,18,Aprovado,Normal
I0005809,A00548,DSCI,2,2022/2023,19,Aprovado,Recurso
I0005810,A00548,BIAR,2,2022/2023,20,Aprovado,Normal
I0005811,A00548,MKTG,2,2022/2023,3,Reprovado,Recurso
I0005812,A00548,SOFT,1,2024/2025,17,Aprovado,Normal
I0005813,A00548,PROG,1,2025/2026,14,Aprovado,Normal
I0005814,A00548,ING1,2,2025/2026,17,Aprovado,Recurso
I0005815,A00548,SINA,2,2023/2024,20,Aprovado,Normal
I0005816,A00548,ESTA,1,2025/2026,16,Aprovado,Normal
I0005817,A00548,CALC,2,2022/2023,12,Aprovado,Normal
I0005818,A00548,MICR,2,2025/2026,10,Aprovado,Normal
I0005819,A00549,CALC,1,2022/2023,19,Aprovado,Normal
I0005820,A00549,TRAD,1,2025/2026,10,Aprovado,Normal
I0005821,A00549,ANAC,1,2024/2025,0,Reprovado,Normal
I0005822,A00549,PROG,1,2022/2023,11,Aprovado,Normal
I0005823,A00549,ESTA,1,2025/2026,13,Aprovado,Recurso
I0005824,A00549,MICR,1,2025/2026,,Não avaliado,Normal
I0005825,A00549,SOFT,1,2025/2026,17,Aprovado,Recurso
I0005826,A00549,BDAD,1,2024/2025,15,Aprovado,Normal
